pct	A0:B0	radius	Models	k1	k2	tau_eta	h_zeta	chi2	Scientist	Det
0	1:01	1	MA/MA	4.52E-07	1.79E-04	0	0	8.61E-01	4.58E+00	9.90E-01
0	1:01	1	ST/MA	3.37E-05	1.68E-12	1.34E+02	6.96E-01	6.75E-04	1.17E+01	1.00E+00
0	1:01	1	SV/MA	2.52E-17	8.56E-13	5.46E+00	6.55E-02	9.70E-03	9.06E+00	1.00E+00
0	1:01	1	ST/ST	3.37E-05	5.39E-09	1.34E+02	6.96E-01	6.75E-04	1.17E+01	1.00E+00
16000	1:01	1	MA/MA	2.39E-07	2.33E-04	0	0	6.61E-01	4.58E+00	9.90E-01
16000	1:01	1	ST/MA	3.04E-05	8.26E-12	2.21E+02	7.57E-01	2.33E-03	5.76E+00	9.97E-01
16000	1:01	1	SV/MA	2.38E-23	2.50E-13	2.31E+00	3.12E+00	8.39E-03	8.95E+00	1.00E+00
16000	1:01	1	ST/ST	3.03E-05	1.96E-08	2.21E+02	7.57E-01	2.33E-03	1.02E+01	1.00E+00
32000	1:01	1	MA/MA	3.25E-07	2.45E-04	0	0	1.25E+00	4.12E+00	9.84E-01
32000	1:01	1	ST/MA	5.29E-05	7.79E-13	1.69E+02	8.13E-01	4.12E-03	9.84E+00	1.00E+00
32000	1:01	1	SV/MA	4.68E-23	0.00E+00	5.39E+00	1.60E-02	5.68E-03	9.52E+00	1.00E+00
32000	1:01	1	ST/ST	5.29E-05	2.10E-08	1.69E+02	8.13E-01	4.12E-03	1.12E+00	6.74E-01
48000	1:01	1	MA/MA	4.61E-07	2.55E-04	0	0	1.81E+00	3.53E+00	9.71E-01
48000	1:01	1	ST/MA	6.43E-05	4.33E-13	1.04E+02	8.19E-01	2.99E-03	6.42E-01	4.74E-01
48000	1:01	1	SV/MA	4.24E-22	1.58E-12	3.21E+00	1.96E+00	3.85E-03	9.69E+00	1.00E+00
48000	1:01	1	ST/ST	6.43E-05	5.31E-09	1.04E+02	8.19E-01	2.99E-03	6.39E-01	4.72E-01
0	1:01	5	MA/MA	1.26E-06	4.67E-04	0	0	1.71E-02	6.28E+00	9.98E-01
0	1:01	5	ST/MA	2.26E-06	9.34E-05	3.63E-10	1.38E-01	4.48E-03	7.62E+00	1.00E+00
