Radius Pcnt Model k1 k2 tau_eta h_zeta chi2 MSC CoD
2 25 MA/MA 1.46E-06 7.43E-04 0 0 1.84E+01 9.81E-01 6.25E-01
3 25 MA/MA 2.92E-06 9.65E-04 0 0 1.41E+01 1.40E+00 7.54E-01
3 25 ST/MA 1.26E-04 3.07E-13 7.00E+00 9.10E-01 3.76E-01 1.40E+00 7.50E-01
4 25 MA/MA 3.20E-06 8.97E-04 0 0 1.17E+01 2.18E+00 8.87E-01
4 50 MA/MA 7.61E-06 4.24E-03 0 0 4.59E+00 2.38E+00 9.07E-01
4 50 SV/MA 1.0E-25 1.09E-4 4.25E+00 4.41E+01 2.62E+00 2.40E+00 9.09E-01
4 25 ST/MA 2.45E-04 0.00E+00 1.14E+01 1.00E+00 4.44E+00 5.45E+00 9.96E+00
2 75 MA/MA 9.80E-06 4.78E-02 0 0 4.35E+00 2.64E-01 2.32E-01
2 75 SV/MA 9.75E-06 4.78E-02 9.63E-04 0.00E+00 4.35E+00 2.64E-01 2.32E-01
2 75 ST/ST 5.33E-05 2.60E-01 2.38E+03 2.18E-01 4.35E+00 2.64E-01 2.32E-01
3 50 MA/MA 4.49E-06 3.57E-03 0 0 3.80E+00 1.44E+00 7.63E-01
3 50 ST/MA 4.57E-06 3.57E-03 3.66E+06 1.23E-03 3.80E+00 -4.26E+00 -6.98E+01
3 50 SV/MA 3.18E-23 3.11E-04 5.70E+00 1.40E-01 2.00E+00 2.08E+00 8.75E-01
2 25 SV/MA 1.20E-29 5.21E-11 7.73E+00 2.54E-01 1.69E+00 3.37E+00 9.80E-01
4 50 ST/MA 1.37E-04 5.31E-06 3.27E+00 1.00E+00 1.52E+00 -2.85E+00 -1.63E+01
2 25 ST/MA 3.83E-05 3.45E-12 5.30E-01 7.80E-01 1.13E+00 3.77E+00 -1.86E+01
2 25 ST/ST 3.83E-05 8.59E-09 5.24E-01 7.78E-01 1.13E+00 1.26E+00 7.18E-01
4 50 ST/ST 2.41E-04 8.94E-02 1.05E+01 1.00E+00 8.68E-01 -6.69E-02 -6.91E-02
4 25 SV/MA 5.08E-25 8.93E-06 3.08E+00 3.54E+00 7.92E-01 4.87E+00 9.92E-01
4 75 MA/MA 7.77E-06 1.18E-02 0 0 4.98E-01 3.63E+00 9.74E-01
4 75 SV/MA 7.78E-06 1.18E-02 2.04E-06 1.39E-05 4.98E-01 3.63E+00 9.74E-01
4 75 ST/ST 9.32E-06 1.41E-02 1.32E+03 2.50E-02 4.98E-01 1.26E+00 7.16E-01
1 25 MA/MA 1.48E-05 1.45E-01 0 0 4.81E-01 1.78E-01 1.64E-01
1 25 SV/MA 1.47E-05 1.46E-01 1.35E-03 2.89E-08 4.81E-01 1.79E-01 1.64E-01
1 25 ST/ST 2.05E-05 2.01E-01 1.02E-03 4.00E-01 4.65E-01 2.13E-01 1.92E-01
4 25 ST/ST 2.45E-04 8.95E-08 1.14E+01 1.00E+00 4.44E-01 -1.94E+00 -5.94E+00
3 25 SV/MA 5.66E-27 1.10E-10 5.75E+00 1.47E+00 4.10E-01 4.94E+00 9.93E-01
3 75 MA/MA 8.71E-06 1.80E-02 0 0 3.87E-01 2.09E+00 8.76E-01
3 75 SV/MA 7.74E-06 1.79E-02 9.76E-03 7.77E-03 3.87E-01 2.09E+00 9.60E-01
3 25 ST/ST 1.26E-04 9.24E-08 7.01E+00 9.10E-01 3.76E-01 -1.96E+00 -6.13E+00
3 75 ST/ST 1.74E-04 3.58E-01 3.62E+01 7.48E-01 3.59E-01 2.16E+00 8.85E-01
1 50 SV/MA 1.80E-05 2.26E-01 3.91E-05 2.46E-04 2.96E-01 1.79E-01 1.64E-01
1 50 MA/MA 1.80E-05 2.25E-01 0 0 2.95E-01 1.79E-01 1.64E-01
1 50 ST/ST 2.08E-05 2.60E-01 1.03E-03 4.51E-01 2.86E-01 2.11E-01 1.90E-01
3 50 ST/ST 1.91E-04 9.95E-02 9.02E+00 1.00E+00 2.86E-01 4.03E+00 9.80E-01
2 50 MA/MA 5.61E-06 1.11E-02 0 0 2.17E-01 4.06E+00 9.83E-01
2 50 SV/MA 1.75E-06 1.06E-02 1.20E-01 5.01E-02 2.15E-01 4.07E+00 9.83E-01
1 25 ST/MA 1.20E-05 8.52E-02 1.47E+02 3.98E-02 1.99E-01 1.06E+00 6.50E-01
1 50 ST/MA 1.64E-05 1.63E-01 1.78E+02 2.75E-02 1.95E-01 -6.20E+00 -4.93E+02
2 50 ST/ST 1.58E-05 3.12E-02 6.02E+00 3.07E-01 1.70E-01 4.31E+00 9.87E-01
2 50 ST/MA 6.74E-06 9.91E-03 1.54E+03 3.38E-02 1.51E-01 -1.01E+00 -1.75E+00
1 75 MA/MA 1.22E-05 1.84E-01 0 0 1.38E-01 3.31E-01 2.82E-01
1 75 ST/MA 1.78E+04 1.83E-01 1.97E+12 7.45E-01 1.38E-01 3.31E-01 2.82E-01
1 75 SV/MA 8.44E-07 1.80E-01 1.21E-03 3.87E-01 1.38E-01 3.31E-01 2.82E-01
3 75 ST/MA 5.60E-01 1.56E-02 8.69E+04 9.86E+01 1.21E-01 3.25E+00 -9.10E+00
1 75 ST/ST 1.53E-05 2.29E-01 1.00E-09 5.54E-01 1.11E-01 5.41E-01 4.18E-01
4 75 ST/MA 2.14E-05 1.02E-02 4.94E+03 1.27E-01 8.40E-02 5.41E+00 9.96E-01
2 75 ST/MA 6.17E-05 1.94E-02 1.62E+03 3.16E-01 6.15E-02 4.52E+00 9.89E-01
