,radius,pct,accvol,pct_vol,fdim
2D Simulations,Radius,N,% Accessible Volume,% Volume,Fractal Dimension
,(5-20),1500,0.49,0.52,1.73
,(5-20),3000,0.23,0.27,1.52
,(5-20),4500,0.11,0.14,1.34
,1,16000,0.82,0.99,1.97
,1,32000,0.64,0.93,1.93
,1,48000,0.50,0.87,1.88
3D Simulations,,,,,
,1,43028,0.54,0.82,2.95
,2,5145,0.63,0.83,2.95
,3,1480,0.71,0.83,2.94
,4,609,0.74,0.84,2.93
,1,86055,0.27,0.64,2.90
,2,10290,0.37,0.66,2.88
,3,2960,0.47,0.67,2.86
,4,1218,0.52,0.67,2.85
,1,129083,0.10,0.46,2.82
,2,15435,0.18,0.48,2.81
,3,4440,0.26,0.50,2.78
,4,1827,0.31,0.51,2.76
,,,,,,
